Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.52507	0	0	5	LastDelay	0.0250696	25069.6	1	1
2.52507	0	0	5	FullDelay	0.0250696	25069.6	1	1
3.5	2	0	5	LastDelay	0	0	1	0
3.5	2	0	5	FullDelay	0	0	1	0
3.5	3	0	5	LastDelay	0	0	1	0
3.5	3	0	5	FullDelay	0	0	1	0
3.5	5	0	5	LastDelay	0	0	1	0
3.5	5	0	5	FullDelay	0	0	1	0
3.5	7	0	5	LastDelay	0	0	1	0
3.5	7	0	5	FullDelay	0	0	1	0
3.5	8	0	5	LastDelay	0	0	1	0
3.5	8	0	5	FullDelay	0	0	1	0
3.5	10	0	5	LastDelay	0	0	1	0
3.5	10	0	5	FullDelay	0	0	1	0
3.5	12	0	5	LastDelay	0	0	1	0
3.5	12	0	5	FullDelay	0	0	1	0
3.5	13	0	5	LastDelay	0	0	1	0
3.5	13	0	5	FullDelay	0	0	1	0
3.5	15	0	5	LastDelay	0	0	1	0
3.5	15	0	5	FullDelay	0	0	1	0
3.5	16	0	5	LastDelay	0	0	1	0
3.5	16	0	5	FullDelay	0	0	1	0
3.5	17	0	5	LastDelay	0	0	1	0
3.5	17	0	5	FullDelay	0	0	1	0
3.5	18	0	5	LastDelay	0	0	1	0
3.5	18	0	5	FullDelay	0	0	1	0
3.5	19	0	5	LastDelay	0	0	1	0
3.5	19	0	5	FullDelay	0	0	1	0
3.5	20	0	5	LastDelay	0	0	1	0
3.5	20	0	5	FullDelay	0	0	1	0
3.5	21	0	5	LastDelay	0	0	1	0
3.5	21	0	5	FullDelay	0	0	1	0
3.5	22	0	5	LastDelay	0	0	1	0
3.5	22	0	5	FullDelay	0	0	1	0
3.5	23	0	5	LastDelay	0	0	1	0
3.5	23	0	5	FullDelay	0	0	1	0
3.5	24	0	5	LastDelay	0	0	1	0
3.5	24	0	5	FullDelay	0	0	1	0
3.5	25	0	5	LastDelay	0	0	1	0
3.5	25	0	5	FullDelay	0	0	1	0
3.5	26	0	5	LastDelay	0	0	1	0
3.5	26	0	5	FullDelay	0	0	1	0
3.5	27	0	5	LastDelay	0	0	1	0
3.5	27	0	5	FullDelay	0	0	1	0
3.5	28	0	5	LastDelay	0	0	1	0
3.5	28	0	5	FullDelay	0	0	1	0
3.5	29	0	5	LastDelay	0	0	1	0
3.5	29	0	5	FullDelay	0	0	1	0
3.50049	19	0	1	LastDelay	0.50049	500490	1	0
3.50049	19	0	1	FullDelay	3.00049	3.00049e+06	2	0
3.51048	3	0	1	LastDelay	0.510478	510478	1	1
3.51048	3	0	1	FullDelay	3.01048	3.01048e+06	2	1
3.51851	2	0	1	LastDelay	0.51851	518510	1	1
3.51851	2	0	1	FullDelay	3.01851	3.01851e+06	2	1
3.51851	7	0	1	LastDelay	0.51851	518510	1	1
3.51851	7	0	1	FullDelay	3.01851	3.01851e+06	2	1
3.51851	8	0	1	LastDelay	0.51851	518510	1	1
3.51851	8	0	1	FullDelay	3.01851	3.01851e+06	2	1
